Location,Date,AQI
District of Columbia,1980-12-01,125.0
District of Columbia,1980-12-02,98.0
District of Columbia,1980-12-03,38.0
District of Columbia,1980-12-04,57.0
District of Columbia,1980-12-05,48.0
District of Columbia,1980-12-06,63.0
District of Columbia,1980-12-07,99.0
District of Columbia,1980-12-08,105.0
District of Columbia,1980-12-09,68.0
District of Columbia,1980-12-10,38.0
District of Columbia,1980-12-11,28.0
District of Columbia,1980-12-12,44.0
District of Columbia,1980-12-13,57.0
District of Columbia,1980-12-14,28.0
District of Columbia,1980-12-15,33.0
District of Columbia,1980-12-16,57.0
District of Columbia,1980-12-17,42.0
District of Columbia,1980-12-18,204.0
District of Columbia,1980-12-19,197.0
District of Columbia,1980-12-20,33.0
District of Columbia,1980-12-21,47.0
District of Columbia,1980-12-22,52.0
District of Columbia,1980-12-23,57.0
District of Columbia,1980-12-24,50.0
District of Columbia,1980-12-25,33.0
District of Columbia,1980-12-26,38.0
District of Columbia,1980-12-27,42.0
District of Columbia,1980-12-28,47.0
District of Columbia,1980-12-29,33.0
District of Columbia,1980-12-30,38.0
District of Columbia,1980-12-31,52.0
District of Columbia,1981-01-01,38.0
District of Columbia,1981-01-02,43.0
District of Columbia,1981-01-03,38.0
District of Columbia,1981-01-04,24.0
District of Columbia,1981-01-05,55.0
District of Columbia,1981-01-06,79.0
District of Columbia,1981-01-07,54.0
District of Columbia,1981-01-08,67.0
District of Columbia,1981-01-09,61.0
District of Columbia,1981-01-10,49.0
District of Columbia,1981-01-11,27.0
District of Columbia,1981-01-12,74.0
District of Columbia,1981-01-13,71.0
District of Columbia,1981-01-14,79.0
District of Columbia,1981-01-15,79.0
District of Columbia,1981-01-16,68.0
District of Columbia,1981-01-17,49.0
District of Columbia,1981-01-18,41.0
District of Columbia,1981-01-19,100.0
District of Columbia,1981-01-20,87.0
District of Columbia,1981-01-21,78.0
District of Columbia,1981-01-22,60.0
District of Columbia,1981-01-23,69.0
District of Columbia,1981-01-24,52.0
District of Columbia,1981-01-25,59.0
District of Columbia,1981-01-26,85.0
District of Columbia,1981-01-27,82.0
District of Columbia,1981-01-28,75.0
District of Columbia,1981-01-29,47.0
District of Columbia,1981-01-30,55.0
District of Columbia,1981-01-31,73.0
District of Columbia,1981-02-01,68.0
District of Columbia,1981-02-02,51.0
District of Columbia,1981-02-03,62.0
District of Columbia,1981-02-04,33.0
District of Columbia,1981-02-05,63.0
District of Columbia,1981-02-06,118.0
District of Columbia,1981-02-07,153.0
District of Columbia,1981-02-08,52.0
District of Columbia,1981-02-09,47.0
District of Columbia,1981-02-10,57.0
District of Columbia,1981-02-11,68.0
District of Columbia,1981-02-12,54.0
District of Columbia,1981-02-13,65.0
District of Columbia,1981-02-14,100.0
District of Columbia,1981-02-15,103.0
District of Columbia,1981-02-16,79.0
District of Columbia,1981-02-17,63.0
District of Columbia,1981-02-18,79.0
District of Columbia,1981-02-19,60.0
District of Columbia,1981-02-20,80.0
District of Columbia,1981-02-21,50.0
District of Columbia,1981-02-22,33.0
District of Columbia,1981-02-23,52.0
District of Columbia,1981-02-24,78.0
District of Columbia,1981-02-25,62.0
District of Columbia,1981-02-26,43.0
District of Columbia,1981-02-27,87.0
District of Columbia,1981-02-28,92.0
District of Columbia,1981-03-01,47.0
District of Columbia,1981-03-02,45.0
District of Columbia,1981-03-03,42.0
District of Columbia,1981-03-04,52.0
District of Columbia,1981-03-05,83.0
District of Columbia,1981-03-06,63.0
District of Columbia,1981-03-07,50.0
District of Columbia,1981-03-08,28.0
District of Columbia,1981-03-09,51.0
District of Columbia,1981-03-10,52.0
District of Columbia,1981-03-11,57.0
District of Columbia,1981-03-12,57.0
District of Columbia,1981-03-13,79.0
District of Columbia,1981-03-14,53.0
District of Columbia,1981-03-15,57.0
District of Columbia,1981-03-16,57.0
District of Columbia,1981-03-17,42.0
District of Columbia,1981-03-18,45.0
District of Columbia,1981-03-19,47.0
District of Columbia,1981-03-20,52.0
District of Columbia,1981-03-21,57.0
District of Columbia,1981-03-22,52.0
District of Columbia,1981-03-23,79.0
District of Columbia,1981-03-24,68.0
District of Columbia,1981-03-25,101.0
District of Columbia,1981-03-26,68.0
District of Columbia,1981-03-27,81.0
District of Columbia,1981-03-28,54.0
District of Columbia,1981-03-29,115.0
District of Columbia,1981-03-30,57.0
District of Columbia,1981-03-31,97.0
District of Columbia,1981-04-01,73.0
District of Columbia,1981-04-02,92.0
District of Columbia,1981-04-03,95.0
District of Columbia,1981-04-04,84.0
District of Columbia,1981-04-05,38.0
District of Columbia,1981-04-06,44.0
District of Columbia,1981-04-07,42.0
District of Columbia,1981-04-08,84.0
District of Columbia,1981-04-09,52.0
District of Columbia,1981-04-10,63.0
District of Columbia,1981-04-11,73.0
District of Columbia,1981-04-12,54.0
District of Columbia,1981-04-13,47.0
District of Columbia,1981-04-14,50.0
District of Columbia,1981-04-15,63.0
District of Columbia,1981-04-16,79.0
District of Columbia,1981-04-17,52.0
District of Columbia,1981-04-18,93.0
District of Columbia,1981-04-19,47.0
District of Columbia,1981-04-20,47.0
District of Columbia,1981-04-21,68.0
District of Columbia,1981-04-22,82.0
District of Columbia,1981-04-23,52.0
District of Columbia,1981-04-24,52.0
District of Columbia,1981-04-25,59.0
District of Columbia,1981-04-26,73.0
District of Columbia,1981-04-27,95.0
District of Columbia,1981-04-28,84.0
District of Columbia,1981-04-29,95.0
District of Columbia,1981-04-30,73.0
District of Columbia,1981-05-01,79.0
District of Columbia,1981-05-02,60.0
District of Columbia,1981-05-03,63.0
District of Columbia,1981-05-04,84.0
District of Columbia,1981-05-05,84.0
District of Columbia,1981-05-06,60.0
District of Columbia,1981-05-07,52.0
District of Columbia,1981-05-08,68.0
District of Columbia,1981-05-09,52.0
District of Columbia,1981-05-10,38.0
District of Columbia,1981-05-11,63.0
District of Columbia,1981-05-12,57.0
District of Columbia,1981-05-13,79.0
District of Columbia,1981-05-14,122.0
District of Columbia,1981-05-15,79.0
District of Columbia,1981-05-16,38.0
District of Columbia,1981-05-17,68.0
District of Columbia,1981-05-18,52.0
District of Columbia,1981-05-19,85.0
District of Columbia,1981-05-20,68.0
District of Columbia,1981-05-21,87.0
District of Columbia,1981-05-22,71.0
District of Columbia,1981-05-23,63.0
District of Columbia,1981-05-24,97.0
District of Columbia,1981-05-25,150.0
District of Columbia,1981-05-26,79.0
District of Columbia,1981-05-27,77.0
District of Columbia,1981-05-28,69.0
District of Columbia,1981-05-29,74.0
District of Columbia,1981-05-30,101.0
District of Columbia,1981-05-31,40.0
District of Columbia,1981-06-01,47.0
District of Columbia,1981-06-02,76.0
District of Columbia,1981-06-03,52.0
District of Columbia,1981-06-04,42.0
District of Columbia,1981-06-05,119.0
District of Columbia,1981-06-06,33.0
District of Columbia,1981-06-07,64.0
District of Columbia,1981-06-08,105.0
District of Columbia,1981-06-09,50.0
District of Columbia,1981-06-10,44.0
District of Columbia,1981-06-11,64.0
District of Columbia,1981-06-12,52.0
District of Columbia,1981-06-13,156.0
District of Columbia,1981-06-14,77.0
District of Columbia,1981-06-15,133.0
District of Columbia,1981-06-16,195.0
District of Columbia,1981-06-17,90.0
District of Columbia,1981-06-18,197.0
District of Columbia,1981-06-19,140.0
District of Columbia,1981-06-20,87.0
District of Columbia,1981-06-21,140.0
District of Columbia,1981-06-22,105.0
District of Columbia,1981-06-23,174.0
District of Columbia,1981-06-24,68.0
District of Columbia,1981-06-25,68.0
District of Columbia,1981-06-26,57.0
District of Columbia,1981-06-27,95.0
District of Columbia,1981-06-28,84.0
District of Columbia,1981-06-29,95.0
District of Columbia,1981-06-30,150.0
District of Columbia,1981-07-01,57.0
District of Columbia,1981-07-02,57.0
District of Columbia,1981-07-03,47.0
District of Columbia,1981-07-04,38.0
District of Columbia,1981-07-05,47.0
District of Columbia,1981-07-06,57.0
District of Columbia,1981-07-07,100.0
District of Columbia,1981-07-08,172.0
District of Columbia,1981-07-09,67.0
District of Columbia,1981-07-10,84.0
District of Columbia,1981-07-11,126.0
District of Columbia,1981-07-12,156.0
District of Columbia,1981-07-13,133.0
District of Columbia,1981-07-14,84.0
District of Columbia,1981-07-15,62.0
District of Columbia,1981-07-16,68.0
District of Columbia,1981-07-17,154.0
District of Columbia,1981-07-18,201.0
District of Columbia,1981-07-19,133.0
District of Columbia,1981-07-20,71.0
District of Columbia,1981-07-21,54.0
District of Columbia,1981-07-22,59.0
District of Columbia,1981-07-23,63.0
District of Columbia,1981-07-24,84.0
District of Columbia,1981-07-25,42.0
District of Columbia,1981-07-26,47.0
District of Columbia,1981-07-27,84.0
District of Columbia,1981-07-28,62.0
District of Columbia,1981-07-29,63.0
District of Columbia,1981-07-30,68.0
District of Columbia,1981-07-31,79.0
District of Columbia,1981-08-01,64.0
District of Columbia,1981-08-02,67.0
District of Columbia,1981-08-03,89.0
District of Columbia,1981-08-04,105.0
District of Columbia,1981-08-05,80.0
District of Columbia,1981-08-06,52.0
District of Columbia,1981-08-07,105.0
District of Columbia,1981-08-08,61.0
District of Columbia,1981-08-09,93.0
District of Columbia,1981-08-10,156.0
District of Columbia,1981-08-11,119.0
